producto,marca,sustancia_activa,categoria,ean,laboratorio,estatus
Xeletec 200mg capsula 20,XELETEC,CELECOXIB,REUMATOLOGÍA,7502226295503,ALPHARMA,ACTIVO
Promotion 10 tabletas 15 mg,PROMOTION,MELOXICAM,REUMATOLOGÍA,7502003386226,RAYERE,ACTIVO
Levigrix solución frasco 200ml,LEVIGRIX,LEVOCETIRIZINA,SISTEMA RESPIRATORIO,7501300420688,SIEGFRIED RHEIN,ACTIVO
Psilax polvo 1 sobre 400g,PSILAX,PLANTAGO PSYLLIUM,SISTEMA DIGESTIVO,7503002615102,NUCITEC,ACTIVO
Enalapril 30 tabletas 10mg,,ENALAPRIL,CARDIOLOGÍA,7502216792845,ULTRA LABORATORIOS,ACTIVO
Criam 20 tabletas 400mg,CRIAM,VALPROATO DE MAGNESIO,NEUROLOGÍA,7501384545147,PSICOFARMA,ACTIVO
Dolprofen 2 frasco 60 tabletas 400 mg,DOLPROFEN,IBUPROFENO,ANALGÉSICOS,780083148850,COLLINS,ACTIVO
Haloperidol 2o tabletas 5 mg,,HALOPERIDOL,NEUROLOGÍA,7501384546625,PSICOFARMA,ACTIVO
Paramix 0.6 g oral 30 ml suspension,PARAMIX,NITAZOXANIDA,INFECTOLOGÍA,7501299301401,LIOMONT RX,ACTIVO
Flonorm 14 tabletas 400mg,FLONORM,RIFAXIMINA,GASTROENTEROLOGÍA,8020030053502,ALFASIGMA,ACTIVO
Atemperator lp 30 tabletas 200mg,ATEMPERATOR,VALPROATO DE MAGNESIO,NEUROLOGÍA,7501089801371,ARMSTRONG,ACTIVO
Xuzal oral 200 ml 200 ml solución frasco levocetirizina 0.5 ml,XUZAL,LEVOCETIRIZINA,SISTEMA RESPIRATORIO,7501088509117,MOKSHA8,ACTIVO
Briviact 50mg tabletas 28,BRIVIACT,BRIVARACETAM,NEUROLOGÍA,5413787997978,UCB DE MEXICO S.A. DE C.V.,ACTIVO
Lomotil 8 tabletas 2mg,LOMOTIL,LOPERAMIDA,SISTEMA DIGESTIVO,7501057002663,KENVUE,ACTIVO
"STALEVO LEVODOPA, CARBIDOPA, ENTACAPONA 150/37.5/200 MG CON 30 TABLETAS",STALEVO,"CARBIDOPA, ENTACAPONA, LEVODOPA",NEUROLOGÍA,7502216935549,SANDOZ,ACTIVO
Sub z 30 tabletas 5 mg,SUB Z,MELATONINA,INDUCTORES DE SUEÑO,7501293202193,DIGRIMEX S.A. DE C.V.,ACTIVO
Montelukast 20 comprimidos 10mg,ANTIBIOTICOS DE MEXICO,MONTELUKAST,NEUMOLOGÍA,7501349024991,ANTIBIOTICOS DE MEXICO,ACTIVO
Femisan 3d 3 cápsulas 800/100mg,FEMISAN,"CLINDAMICINA, KETOCONAZOL",GINECOLOGÍA,7501123001682,BAUSCH HEALTH,ACTIVO
Cisaprida 30 tabletas 5mg,ANTIBIOTICOS DE MEXICO,CISAPRIDA,GASTROENTEROLOGÍA,7501349028326,ANTIBIOTICOS DE MEXICO,ACTIVO
Sonsval 1mg/g crema 15g,SONSVAL,ESTRIOL,GINECOLOGÍA,7502001166998,SON'S,ACTIVO
Go-on inyectable 2.5ml solucion jeringa prellenada,GO-ON,HIALURONATO DE SODIO,REUMATOLOGÍA,8019561161114,VIATRIS HEALTHCARE MEXICO S DE RL DE CV,ACTIVO
Somnocal 5 ampolletas 5mg/5ml,SOMNOCAL,MIDAZOLAM,NEUROLOGÍA,7501493874664,KENER,ACTIVO
D vi solución vitamina d gotero 10ml,DI-VI-SOL,COLECALCIFEROL,MULTIVITAMÍNICOS,7501300421197,SIEGFRIED RHEIN,ACTIVO
NARTEX POMADA DE ÁRNICA 28 GR DUOPACK,NARTEX,ÁRNICA,ANALGÉSICOS,7501358130171,NARTEX LAB,ACTIVO
Galaver 1 gel 8mg/1mg/250 ml,GALAVER,"DIMETICONA, MAGALDRATO",SISTEMA DIGESTIVO,7502009745027,BRUDIFARMA,ACTIVO
Eturion 30 tabletas 20mg,ETURION,ATORVASTATINA,CARDIOLOGÍA,7501070647025,VIATRIS HEALTHCARE MEXICO S DE RL DE CV,ACTIVO
Broncho vaxo adulto 10 cápsulas 7 mg,BRONCHO VAXOM,LIOFILIZADO ESTANDARIZADO DE LISADOS BACTERIANOS,INFECTOLOGÍA,7502209290075,GRÜNENTHAL,ACTIVO
Jania 14 tabletas 2 mg,JANIA,TOLTERODINA,UROLOGÍA,7502009746314,MAVER,ACTIVO
Provera 10 mg oral 10 tabletas,PROVERA,MEDROXIPROGESTERONA,GINECOLOGÍA,300090050139,PFIZER,ACTIVO
Micardis plus 80/25 mg oral 14 tabletas,MICARDIS PLUS,"HIDROCLOROTIAZIDA, TELMISARTÁN",CARDIOLOGÍA,7501037946239,BOEHRINGER INGELHEIM MEXICO,ACTIVO
